Season,Competition,Category,Athlete,C1,K1,X1,,,
2025,World Championships,Junior Men,HAMERSKI Mateusz,-,69,-,,,
2025,World Championships,Junior Men,LAMBERMONT Loic,-,70,47,,,
2025,World Championships,Junior Men,TEUNISSEN Barrie,-,71,68,,,
2025,World Championships,Junior Men,BUETIKOFER Arik,-,72,13,,,
2025,World Championships,Junior Men,GOTTE James,-,73,69,,,
2025,World Championships,Junior Men,MAGAN Aar,-,74,50,,,
2025,World Championships,Junior Men,CARRASCO CADILLO Juan Antonio,-,-,58,,,
2025,World Championships,Junior Men,CHRISTIE WILLIAMS Wyatt,-,-,-,,,
2025,World Championships,Junior Men,KAEDING Kilian,-,-,5,,,
2025,World Championships,Junior Men,NEUMANN Kalle,-,-,11,,,
2025,World Championships,Junior Men,VENETIANER Martin,-,-,27,,,
2025,World Championships,Junior Men,PETRIK Marek,-,-,29,,,
2025,World Championships,Junior Men,KRAMER Jernej,-,-,30,,,
2025,World Championships,Junior Men,RADOVICH Matej,-,-,33,,,
2025,World Championships,Junior Men,PAJK Maj,-,-,39,,,
2025,World Championships,Junior Men,BOSSHARD Delfo,-,-,41,,,
2025,World Championships,Junior Men,BLACKBURN Finnigan,-,-,43,,,
2025,World Championships,Junior Men,SMITH Asher,-,-,44,,,
2025,World Championships,Junior Men,LONG Isaac,-,-,57,,,
2025,World Championships,U23 Women,LEIBFARTH Evy,1,2,4,,,
2025,World Championships,U23 Women,PANKOVA Zuzana,2,4,25,,,
2025,World Championships,U23 Women,HOCEVAR Eva Alina,3,1,9,,,
2025,World Championships,U23 Women,LUKNAROVA Emanuela,4,13,38,,,
2025,World Championships,U23 Women,DELASSUS Doriane,5,8,1,,,
2025,World Championships,U23 Women,MILLER Ellis,6,34,-,,,
2025,World Championships,U23 Women,MORENOVA Adriana,7,-,-,,,
2025,World Championships,U23 Women,KNEBLOVA Tereza,8,-,7,,,
2025,World Championships,U23 Women,MICOZZI Elena,9,-,-,,,
2025,World Championships,U23 Women,LAURENT Zoe,10,-,-,,,
2025,World Championships,U23 Women,RAPPE Kimberley,11,-,-,,,
2025,World Championships,U23 Women,KRECH Lucie,12,-,-,,,
2025,World Championships,U23 Women,BORGHI Elena,13,-,-,,,
2025,World Championships,U23 Women,SAMKOVA Olga,14,-,13,,,
2025,World Championships,U23 Women,ANANYEVA Anastassiya,15,44,43,,,
