athlete,category,C1,K1,X1
SOVKO Serhii,U23 Men,-,33,37
STANKO Filip,U23 Men,-,35,40
JEKLIN Rene,U23 Men,-,36,41
ANDEREGG Noe,U23 Men,-,37,-
COLLIER Nicholas,U23 Men,-,38,1
CIAGLO Michal,U23 Men,-,39,68
MAYER Thomas,U23 Men,-,39,10
UKALOVIC Thomas,U23 Men,-,41,32
WILHELMER Noah,U23 Men,-,42,77
CHRISTIE-WILLIAMS John Coleman,U23 Men,-,43,-
GALOVIC Maximilian,U23 Men,-,45,-
MARTINEZ Jesus,U23 Men,-,45,35
LIAO Li-Hong,U23 Men,-,47,-
LONG Kyler James,U23 Men,-,48,18
LONG Merle,U23 Men,-,49,17
YILMAZ Serkan Ozcan,U23 Men,-,50,-
ETTWILLER Gael,U23 Men,-,51,83
SAVLI Jakob,U23 Men,-,52,65
COWAN Padraig,U23 Men,-,54,50
NESHIME Daisuke,U23 Men,-,55,57
PILBROW Ben,U23 Men,-,56,-
MAMBETOV Imangali,U23 Men,-,57,55
KITAMURA Koki,U23 Men,-,58,12
CARNEIRO Victor Eduardo,U23 Men,-,59,61
TASKIRAN Hasan Mert,U23 Men,-,60,-
FIANDER Ossian,U23 Men,-,62,56
FIANDER Gustaf,U23 Men,-,64,66
BIERMANS Nils,U23 Men,-,65,49
NEDELJKOVIC Milutin,U23 Men,-,66,-
VAINAUSKAS Paulius,U23 Men,-,67,-
DEL TESO Mario,U23 Men,-,68,-
REINOSO Fernando,U23 Men,-,71,67
MACIJAUSKS Martins,U23 Men,-,72,74
PETKEVICIUS Herkus,U23 Men,-,73,-
PARK Moorim,U23 Men,-,74,70
CURTIN Dominic,U23 Men,-,75,19
VAN HEERDEN Matthew,U23 Men,-,76,64
MARTINS Pedro,U23 Men,-,77,69
FRIEDENSON Kaelin,U23 Men,-,78,20
VERNON Reilly,U23 Men,-,80,-
MASTALSKI Mikolaj,U23 Men,-,81,36
JEMAI Salim,U23 Men,-,82,48
YILMAZ Kubilay,U23 Men,-,83,-
JACQUES Arthur,U23 Men,-,84,-
RATHOD Pradhyumna Singh,U23 Men,-,85,78
PELITE Peteris,U23 Men,-,86,-
RAW Brayden,U23 Men,-,87,72
MAGAN Raage,U23 Men,-,0,-
MAGAN Aar,U23 Men,-,0,-
BENINI Gino,U23 Men,-,-,4
GALEA Riley,U23 Men,-,-,24
SACHERS Felix,U23 Men,-,-,31
DUDA Filip,U23 Men,-,-,38
SEVCIK Matej,U23 Men,-,-,39
BECKE David,U23 Men,-,-,42
CUIGNON Ludovico,U23 Men,-,-,43
KASPER Dominic,U23 Men,-,-,44
FARADAY Lachlan,U23 Men,-,-,73
ZWOLINSKA Klaudia,Senior Women,1,1,3
MINAZOVA Alsu,Senior Women,2,16,47
SATILA Ana,Senior Women,3,7,13
LEIBFARTH Evy,Senior Women,4,9,8
SATKOVA Martina,Senior Women,5,-,-
PANKOVA Zuzana,Senior Women,6,8,22
SATKOVA Gabriela,Senior Women,7,15,-
WOODS Kimberley,Senior Women,8,2,9
FOX Noemie,Senior Women,9,12,32
DORIA Monica,Senior Women,10,30,15
US Viktoriia,Senior Women,11,11,11
HOCEVAR Eva Alina,Senior Women,12,10,46
HERZOG Andrea,Senior Women,13,-,7
MARX Alena,Senior Women,14,24,20
LILIK Elena,Senior Women,15,14,-
FORROW Bethan,Senior Women,16,-,-
KOZOROG Alja,Senior Women,17,-,-
MILLER Ellis,Senior Women,18,-,-
LAZKANO Miren,Senior Women,19,-,21
TEUNISSEN Lena,Senior Women,20,36,12
WU Yishan,Senior Women,21,-,-
BERTONCELLI Marta,Senior Women,22,-,-
LUKNAROVA Emanuela,Senior Women,23,38,48
NOVAK Lea,Senior Women,24,47,-
LOGACHEVA Taisiia,Senior Women,25,-,-
DELASSUS Doriane,Senior Women,26,-,-
HUG Angele,Senior Women,27,-,1
BORGHI Elena,Senior Women,28,-,-
MORENOVA Adriana,Senior Women,29,-,-
VILARRUBLA Nuria,Senior Women,30,-,-
STANOVSKA Sona,Senior Women,31,13,19
HUANG Juan,Senior Women,32,-,-
BAYN Nele,Senior Women,33,-,29
ESTACIA NETA Omira,Senior Women,34,41,26
GORA Aleksandra,Senior Women,35,-,28
CORCORAN Michaela,Senior Women,36,-,-
LIU Gaoyi,Senior Women,37,-,-
O'CALLAGHAN Georgia,Senior Women,38,-,50
PRIOUX Lucie,Senior Women,39,-,-
ALTMAN Marcella,Senior Women,40,33,35
PLATA Laura,Senior Women,41,42,37
CHUNG Yu-Han,Senior Women,42,-,-
DANEK Hanna,Senior Women,43,35,-
GARIFIANOVA Elina,Senior Women,44,-,-
FERNANDES CASTRO Ana Paula,Senior Women,45,52,-
ECKHARDT Kate,Senior Women,46,3,-
REX Rosie,Senior Women,47,-,23
OLAZABAL Klara,Senior Women,48,-,-
CHOU Chih-Chin,Senior Women,49,-,-
CULLWICK Kahlia,Senior Women,50,44,-
FUNK Ricarda,Senior Women,-,4,6
CHOURRAUT Maialen,Senior Women,-,5,4
PRIGENT Camille,Senior Women,-,6,2
GALUSKOVA Antonie,Senior Women,-,17,-
LEAVER Lois,Senior Women,-,18,31
VUITTON Emma,Senior Women,-,19,17
SETCHELL Nikita,Senior Women,-,20,5
GONI Leire,Senior Women,-,21,-
NOVAK Ajda,Senior Women,-,22,25
PIETRACHA Eva,Senior Women,-,23,-
SRIBAR Ria,Senior Women,-,25,-
SORRIBES Laia,Senior Women,-,26,30
YAZAWA Aki,Senior Women,-,27,49
XIE Xueting,Senior Women,-,28,42
LI Shiting,Senior Women,-,29,14
KRYLOVA Kseniia,Senior Women,-,31,16
BRZESKA Dominika,Senior Women,-,32,33
WILLIAMS Courtney,Senior Women,-,34,39
WU Ting-I,Senior Women,-,37,45
SOKOLOVA Mariia,Senior Women,-,39,34
NESNIDALOVA Lucie,Senior Women,-,40,-
REINOSO Sofia,Senior Women,-,43,38
REN Ye,Senior Women,-,45,-
XHEMAJLJI Blandine,Senior Women,-,46,43
APEL Emily,Senior Women,-,48,-
CHANG Chu-Han,Senior Women,-,49,24
CROSBEE Sarah,Senior Women,-,50,-
SABATTINI Chiara,Senior Women,-,51,18
MILLS Waris,Senior Women,-,53,36
KURIA Michelle Wambui,Senior Women,-,-,51
KNEBLOVA Tereza,Senior Women,-,-,10
HILGERTOVA Amalie,Senior Women,-,-,27
DAVIDSON Codie,Senior Women,-,-,40
PITCHER FARRELL Cleo,Senior Women,-,-,41
SAMKOVA Olga,Senior Women,-,-,44
GESTIN Nicolas,Senior Men,1,-,-
WESTLEY Ryan,Senior Men,2,-,-
BASSETT Kaylen,Senior Men,3,-,-
TRAVE Miquel,Senior Men,4,16,-
BENUS Matej,Senior Men,5,-,-
SZTUBA Kacper,Senior Men,6,-,-
BOZIC Luka,Senior Men,7,-,-
TUCHSCHERER Lennard,Senior Men,8,-,-
SAVSEK Benjamin,Senior Men,9,-,-
MARTIKAN Michal,Senior Men,10,-,-
DIAZ Oier,Senior Men,11,-,-
MIRGORODSKY Marko,Senior Men,12,-,-
SENECHAULT Yohann,Senior Men,13,-,-
BURGESS Adam,Senior Men,14,-,-
CECCON Paolo,Senior Men,15,-,-
KHARLAMTSEV Aleksandr,Senior Men,16,-,-
KOECHLIN Thomas,Senior Men,17,-,-
BARZON Martino,Senior Men,18,-,-
PRSKAVEC Jiri,Senior Men,19,3,-
ROSS Benjamin,Senior Men,20,-,-
VICENTE Marc,Senior Men,21,-,-
ROYLE Luc,Senior Men,22,-,-
ZHANG Zhicheng,Senior Men,23,-,-
KRAL Adam,Senior Men,24,-,-
CORREA Charles,Senior Men,25,-,-
SMIRNOV Egor,Senior Men,26,11,63
CARTER Tristan,Senior Men,27,-,-
HENDRICK Robert,Senior Men,28,-,-
KLEVLEEV Anvar,Senior Men,29,-,-
HEGER Vojtech,Senior Men,30,-,-
WIERCIOCH Michal,Senior Men,31,-,-
KHRAMTSOV Dmitrii,Senior Men,32,-,-
JEGOU Liam,Senior Men,33,-,-
DEBLIQUY Mewen,Senior Men,34,-,-
BALDONI Alex,Senior Men,35,56,20
LOKKEN Zachary,Senior Men,36,-,-
DA SILVA Kaua,Senior Men,37,-,-
EICHFELD Casey,Senior Men,38,-,-
OTTEN Joris,Senior Men,39,-,-
PUCHNER Oliver,Senior Men,40,-,-
COCHRANE Jake,Senior Men,41,-,-
NOWOBILSKI Szymon,Senior Men,42,-,-
SENIOR James,Senior Men,43,-,-
MARINIC Matija,Senior Men,44,-,-
ANDERSON Finn,Senior Men,45,-,-
HANEDA Takuya,Senior Men,46,-,-
TRIPANO Manuel,Senior Men,47,53,59
WABU Youzhuacier,Senior Men,48,-,-
WU Jung-Cheng,Senior Men,49,-,-
SAITO Shota,Senior Men,50,-,-
HARRIS Ryker,Senior Men,51,-,-
PARRY Daniel,Senior Men,52,-,-
ZHANG Peng,Senior Men,53,-,-
MICOZZI Flavio,Senior Men,54,-,-
CURCEL Leonardo,Senior Men,55,-,-
PLAUDIS Martins,Senior Men,56,64,58
FENTANES Ricardo,Senior Men,57,-,-
HOCEVAR Ziga Lin,Senior Men,58,35,19
ZIMMERMANN Niels,Senior Men,59,-,-
PARLAK Mustafa,Senior Men,60,-,72
NG Wee Meng,Senior Men,61,-,69
MUCHIRI Samuel,Senior Men,-,-,71
CASTRYCK Titouan,Senior Men,-,1,6
KREJCI Jakub,Senior Men,-,2,8
BUTCHER Finn,Senior Men,-,4,5
DELFOUR Lucien,Senior Men,-,5,16
KAUZER Peter,Senior Men,-,6,-
DELASSUS Anatole,Senior Men,-,7,-
DE COSTER Gabriel,Senior Men,-,8,40
LEITNER Mario,Senior Men,-,9,24
ANDERSON Timothy,Senior Men,-,10,18
DE GENNARO Giovanni,Senior Men,-,12,15
POLACZYK Mateusz,Senior Men,-,13,11
FERRAZZI Xabier,Senior Men,-,14,39
HALCIN Martin,Senior Men,-,15,32
HENGST Stefan,Senior Men,-,17,30
DICKSON Jonny,Senior Men,-,18,17
DESNOS Mathieu,Senior Men,-,19,66
ECHANIZ Pau,Senior Men,-,20,44
DOUGOUD Martin,Senior Men,-,21,35
HENDRICK Noel,Senior Men,-,22,-
ADACHI Kazuya,Senior Men,-,23,-
KOZLOV Ivan,Senior Men,-,24,38
ROHRER Jan,Senior Men,-,25,26
MUTO Yusuke,Senior Men,-,26,64
